dataset,model,family,tier,date_years,row_errors,dimension,mastered,dim_rank,age_mid
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Sarcasm,1,9,8.5
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Faux Pas Detection,0,10,10.5
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Irony,1,11,8
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Diverse Desires,1,0,3
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Diverse Beliefs,1,1,4
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Knowledge Access / Ignorance,1,2,4
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Emotion Recognition,1,3,5.4
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,First-Order False Belief,1,4,5
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Intention vs. Accident,1,5,6
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Second-Order False Belief,1,7,7.25
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Sarcasm,1,9,8.5
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Faux Pas Detection,0,10,10.5
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,Irony,1,11,8
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,First-Order False Belief,1,4,5
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Sarcasm,1,9,8.5
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,Irony,1,11,8
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Diverse Desires,1,0,3
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,Irony,1,11,8
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Diverse Desires,1,0,3
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,Irony,1,11,8
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Diverse Desires,1,0,3
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,Irony,1,11,8
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Diverse Desires,1,0,3
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,Irony,1,11,8
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Diverse Desires,1,0,3
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,Irony,1,11,8
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Diverse Desires,1,0,3
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,Irony,1,11,8
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Diverse Desires,1,0,3
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,Irony,1,11,8
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Diverse Desires,1,0,3
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Diverse Beliefs,1,1,4
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Knowledge Access / Ignorance,1,2,4
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Emotion Recognition,1,3,5.4
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,First-Order False Belief,1,4,5
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Intention vs. Accident,1,5,6
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Second-Order False Belief,1,7,7.25
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,White Lies / Prosocial Deception,1,8,7.5
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Sarcasm,1,9,8.5
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Faux Pas Detection,1,10,10.5
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,Irony,1,11,8
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Diverse Desires,1,0,3
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Diverse Beliefs,1,1,4
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Knowledge Access / Ignorance,1,2,4
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Emotion Recognition,1,3,5.4
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,First-Order False Belief,0,4,5
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Intention vs. Accident,0,5,6
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Second-Order False Belief,0,7,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,White Lies / Prosocial Deception,0,8,7.5
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Sarcasm,0,9,8.5
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Faux Pas Detection,0,10,10.5
mcq,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Irony,1,11,8
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Diverse Desires,1,0,3
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Diverse Beliefs,1,1,4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Knowledge Access / Ignorance,1,2,4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Emotion Recognition,1,3,5.4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,First-Order False Belief,1,4,5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Intention vs. Accident,1,5,6
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Second-Order False Belief,1,7,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,White Lies / Prosocial Deception,0,8,7.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Sarcasm,0,9,8.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Faux Pas Detection,0,10,10.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,2,Irony,1,11,8
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Diverse Desires,1,0,3
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Diverse Beliefs,1,1,4
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Knowledge Access / Ignorance,1,2,4
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Emotion Recognition,1,3,5.4
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,First-Order False Belief,1,4,5
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Intention vs. Accident,1,5,6
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Second-Order False Belief,1,7,7.25
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,White Lies / Prosocial Deception,1,8,7.5
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Sarcasm,1,9,8.5
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Faux Pas Detection,1,10,10.5
mcq,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,0,Irony,1,11,8
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Diverse Desires,0,0,3
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Diverse Beliefs,0,1,4
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Knowledge Access / Ignorance,0,2,4
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Emotion Recognition,0,3,5.4
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,First-Order False Belief,0,4,5
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Intention vs. Accident,0,5,6
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Second-Order False Belief,1,7,7.25
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,White Lies / Prosocial Deception,0,8,7.5
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Sarcasm,0,9,8.5
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Faux Pas Detection,0,10,10.5
mcq,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Irony,0,11,8
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Diverse Desires,1,0,3
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Diverse Beliefs,1,1,4
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Knowledge Access / Ignorance,0,2,4
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Emotion Recognition,1,3,5.4
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,First-Order False Belief,0,4,5
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Intention vs. Accident,0,5,6
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Second-Order False Belief,0,7,7.25
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,White Lies / Prosocial Deception,0,8,7.5
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Sarcasm,0,9,8.5
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Faux Pas Detection,0,10,10.5
mcq,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Irony,0,11,8
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Diverse Desires,1,0,3
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Diverse Beliefs,1,1,4
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Knowledge Access / Ignorance,1,2,4
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Emotion Recognition,1,3,5.4
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,First-Order False Belief,1,4,5
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Intention vs. Accident,1,5,6
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Second-Order False Belief,1,7,7.25
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,White Lies / Prosocial Deception,1,8,7.5
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Sarcasm,1,9,8.5
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Faux Pas Detection,1,10,10.5
mcq,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Irony,1,11,8
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Diverse Desires,1,0,3
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Diverse Beliefs,1,1,4
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Knowledge Access / Ignorance,1,2,4
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Emotion Recognition,1,3,5.4
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,First-Order False Belief,0,4,5
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Intention vs. Accident,1,5,6
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Second-Order False Belief,1,7,7.25
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,White Lies / Prosocial Deception,1,8,7.5
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Sarcasm,1,9,8.5
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Faux Pas Detection,1,10,10.5
mcq,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Irony,1,11,8
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Diverse Desires,0,0,3
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Diverse Beliefs,0,1,4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Knowledge Access / Ignorance,0,2,4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Emotion Recognition,0,3,5.4
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,First-Order False Belief,0,4,5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Intention vs. Accident,0,5,6
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Hidden Emotion (Appearance vs. Reality),0,6,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Second-Order False Belief,0,7,7.25
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,White Lies / Prosocial Deception,0,8,7.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Sarcasm,0,9,8.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Faux Pas Detection,0,10,10.5
mcq,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Irony,0,11,8
