model,task,created,log_file,dimension,construct,accuracy,stderr
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Second-Order False Belief,Belief reasoning,0.6,0.24494897427831783
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,ALL (overall),ALL (overall),0.9,0.039056673294247155
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Knowledge Access / Ignorance,Knowledge access,0.6,0.24494897427831783
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,Second-Order False Belief,Belief reasoning,0.8,0.20000000000000004
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T19:30:57+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-57-00-00_tom-12dim-freeresponse_HZksQmkA87YzKFw4KXjwam.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,ALL (overall),ALL (overall),0.7666666666666667,0.05506373639622878
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,First-Order False Belief,Belief reasoning,0.2,0.20000000000000004
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Knowledge Access / Ignorance,Knowledge access,0.6,0.24494897427831783
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Sarcasm,Pragmatic understanding,0.8,0.19999999999999998
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,Second-Order False Belief,Belief reasoning,0.6,0.24494897427831783
openrouter/google/gemma-3-4b-it,tom_12dim_freeresponse,2026-07-14T19:30:06+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-06-00-00_tom-12dim-freeresponse_AieGrF9GXfMUeM9eKuCwEV.eval,White Lies / Prosocial Deception,Deception,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,ALL (overall),ALL (overall),0.7166666666666667,0.05866531842313123
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Diverse Beliefs,Belief reasoning,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Faux Pas Detection,Pragmatic understanding,0.2,0.2
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,First-Order False Belief,Belief reasoning,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Intention vs. Accident,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Knowledge Access / Ignorance,Knowledge access,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:20:00+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-20-00-00-00_tom-12dim-freeresponse_k9N5Q7U9MarudS5jYsMe5d.eval,White Lies / Prosocial Deception,Deception,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,ALL (overall),ALL (overall),0.5333333333333333,0.06494964005966064
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Diverse Beliefs,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Diverse Desires,Desire / intention inference,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,First-Order False Belief,Belief reasoning,0.2,0.20000000000000004
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Intention vs. Accident,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Irony,Pragmatic understanding,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Knowledge Access / Ignorance,Knowledge access,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Sarcasm,Pragmatic understanding,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,Second-Order False Belief,Belief reasoning,0.2,0.2
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,2026-07-14T19:17:51+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-17-51-00-00_tom-12dim-freeresponse_dNa6uhcvk78J6VVrAzAuSH.eval,White Lies / Prosocial Deception,Deception,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,ALL (overall),ALL (overall),0.38333333333333336,0.06329764084940143
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Diverse Beliefs,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Diverse Desires,Desire / intention inference,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Faux Pas Detection,Pragmatic understanding,0.0,0.0
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,First-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.0,0.0
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Intention vs. Accident,Desire / intention inference,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Irony,Pragmatic understanding,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Knowledge Access / Ignorance,Knowledge access,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Sarcasm,Pragmatic understanding,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,Second-Order False Belief,Belief reasoning,0.0,0.0
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-45-00-00_tom-12dim-freeresponse_fQLBc6EAdSgSSSyXFoTPmB.eval,White Lies / Prosocial Deception,Deception,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,ALL (overall),ALL (overall),0.7333333333333333,0.057571702611783036
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Diverse Beliefs,Belief reasoning,0.6,0.24494897427831783
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,First-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
